storeId,departmentId,ma,ar,nDiff,shapiroStat,ShapiroValue,ljungStat,ljungValue
1,79,52,51,1,0.9753854092666856,0.011524764328615529,55.87030183161299,0.29693155469654775
1,80,52,24,1,0.9216611116721254,5.050631119351352e-07,3.694035601597385,0.9999993961815077
1,81,52,51,1,0.9930964591343631,0.7261560198619716,25.61553301269174,0.9988589546665926
1,82,52,52,0,0.5440001770073843,3.10192673569877e-19,11.153577775268387,0.9999999996994817
1,83,52,52,0,0.9265421493840555,9.701728950872769e-07,11.352884414387622,0.999999999566924
1,85,52,50,0,0.9343549336053231,3.3147497550116505e-06,4.3005227662024454,1.0
1,87,52,51,1,0.9921318687193306,0.6200379367531044,43.01950784164342,0.7789516035994615
1,90,52,52,1,0.9666814843072373,0.0015530065862299307,43.7131581602713,0.7863832211416478
1,91,52,52,1,0.9787664589422698,0.026274986434331658,68.26966051397596,0.06452189413890083
1,92,52,51,1,0.9240722426702973,7.214456612511385e-07,15.752608621168182,0.9999995101223771
1,93,52,51,1,0.9812188157955446,0.048339453226310905,22.84761280349205,0.9997741298463004
1,94,52,52,1,0.966338472038641,0.0014403028233308855,36.199637303130906,0.9529846871100361
1,95,52,52,1,0.9946994822556757,0.8846449615178609,41.756139554459715,0.8443947434776593
1,96,1,1,1,0.9105060750597369,6.434591670054262e-07,0.9815432270448627,0.321818105034096
1,97,52,51,1,0.9466148410203181,2.8766024361538755e-05,33.351753471808784,0.9734955524082498
1,98,52,52,0,0.9674029737010299,0.0017378938984126408,15.018652285093742,0.9999998908261143
2,1,2,52,1,0.9105723386922235,1.0575881612994451e-07,24.103677204796217,0.9996720973059645
2,2,52,52,0,0.8685825847234736,6.202889089062002e-10,16.938223115904126,0.9999989987640161
2,3,52,52,0,0.7699676732597858,1.0606325768448588e-13,29.11740567863214,0.9957124966375472
2,4,52,52,0,0.9129874346785294,1.3556495747494518e-07,18.966859570114153,0.9999927449507299
2,5,52,52,0,0.6447368724227418,4.259155679928902e-17,12.268200483334459,0.9999999978984317
2,6,52,52,0,0.6586385674617343,9.088138086312448e-17,7.678197550703016,0.9999999999999037
2,7,52,52,0,0.5789514068506989,1.5465468547962246e-18,12.460538325903576,0.9999999971266589
2,8,52,52,1,0.9770272599493195,0.017148396251462812,26.214344152258025,0.9989181608703012
2,9,52,52,0,0.8971339042622357,1.6855387357588073e-08,24.4349341100683,0.9995997147513683
2,10,52,52,0,0.9923706804811924,0.6412622560991916,12.235925003945717,0.9999999980071287
2,11,52,52,0,0.9326169665536169,2.505326642046019e-06,9.842387652416075,0.9999999999782425
2,12,7,2,0,0.9878263373367078,0.24357348076883623,0.013319571137558347,0.9933623416550276
2,13,1,47,1,0.988373560866029,0.2819446435336277,19.793351150534576,0.9998365420721632
2,14,52,52,0,0.6977711925954743,8.728084598908293e-16,19.431120327587042,0.9999890761044011
2,16,52,5,0,0.9060639571578027,5.3147799491148963e-08,0.3417096575372352,0.9967842593288948
2,17,52,51,0,0.8427948766816886,4.583485554392216e-11,12.174438245564502,0.9999999962416568
2,18,42,38,0,0.9322220693513019,2.3064687205455804e-05,6.7537638682783365,0.999999996287699
