storeId,departmentId,ma,ar,nDiff,shapiroStat,ShapiroValue,ljungStat,ljungValue
24,91,9,4,1,0.965931783716396,0.0013176928936895454,3.678991364383924,0.45118888090762754
24,92,9,4,1,0.9895646799943478,0.3696644677319386,3.220864272532267,0.5215676144356407
24,93,9,3,1,0.9718779884791386,0.005030189476546825,0.24804687562624966,0.9694837130082766
24,94,8,4,0,0.9905630695963212,0.4526349084192076,0.2621311154281462,0.9921257675988743
24,96,7,1,0,0.9403633438942317,9.007350507324884e-06,6.3233772353494e-05,0.9936553155110773
24,97,9,10,0,0.953932531788128,0.00010595843749521421,3.9055219345464347,0.9515084053014625
25,1,1,1,0,0.8251885565635027,9.0770632077906e-12,0.024619196181525846,0.8753196761530687
25,2,2,1,0,0.8019798242974898,1.2611947530966537e-12,0.01676349038694052,0.8969826770902904
25,3,2,2,0,0.8099997414262452,2.4479979877025943e-12,0.10382524358021972,0.9494118211240169
25,4,4,2,0,0.9787117667156899,0.025074401859272444,0.07295288285548844,0.964180808352004
25,5,4,1,0,0.68253885750315,3.5324195245061666e-16,0.0013443413045340453,0.9707519083625331
25,6,4,4,0,0.45824771946491993,8.634879538898291e-21,0.01674128346138677,0.9999651610699034
25,7,3,5,0,0.7745225606768634,1.4856002517604012e-13,1.4578715383394443,0.9178796257242253
25,9,4,1,0,0.9265485580889329,9.71121649320117e-07,0.003030267652687024,0.9561003292885064
25,10,3,1,0,0.9183355128594318,2.880867450978126e-07,0.00024444337678280017,0.9875258343878469
25,11,10,1,0,0.8973797527978886,1.738234860512668e-08,0.029505247460205955,0.863617631592279
25,12,1,1,1,0.9940020082755999,0.8209738713713339,0.9391756602430668,0.33248993094533186
25,13,5,2,0,0.9553966553393203,0.0001409813964399935,0.062400323858243636,0.9692815403947083
25,14,4,5,0,0.7600388233766076,5.1700894294003423e-14,0.07862203402582893,0.999910354177538
25,17,3,1,0,0.8031465881851023,1.3873332676350655e-12,0.009768474724644418,0.9212688065809364
25,18,4,2,0,0.793405280144223,5.5905977102107404e-12,0.040933720113619565,0.9797411645030533
25,20,1,1,1,0.9861429961059925,0.1650728974791486,0.8478883516329611,0.35715039998408016
25,21,1,1,0,0.8420077417599628,4.252635452808405e-11,0.011966852456118884,0.9128906985917425
25,22,2,1,0,0.7153014271329319,2.5774439702363636e-15,3.161696479193488e-05,0.9955136013550105
25,23,2,1,0,0.7549132726127872,3.597115881278488e-14,0.001149770828305989,0.9729502978415359
25,24,2,1,0,0.9590996583035463,0.0002959089693570086,0.0009772201042986845,0.9750617755658286
25,25,2,1,0,0.9354988923663182,3.994203761877364e-06,0.0222028102085734,0.8815488397985721
25,26,3,1,0,0.9499695720261694,4.991828948026224e-05,0.08905518563366956,0.7653817450198386
25,27,3,1,0,0.7631491971794896,6.460458456862467e-14,1.9829834668851074e-06,0.9988764317337813
25,28,5,1,0,0.9892971347894619,0.3432273235348047,0.07716391976570978,0.7811782168289887
25,29,1,1,0,0.7825236981107728,2.716758565585794e-13,0.00039891594723728385,0.9840650066395485
25,30,1,1,1,0.9908209253292916,0.48293742537986895,1.21980034702623,0.2693998375483684
25,31,2,1,0,0.8769809035807661,1.5560793320312005e-09,0.0008176189893769601,0.9771883674042806
25,32,1,1,0,0.6386441531596022,3.076419047470929e-17,0.0023426193397361765,0.9613969707679042
25,33,2,1,0,0.9484133366719875,3.743428799344438e-05,3.515071705057646e-05,0.9952695265255229
25,34,6,1,0,0.9543479260007571,0.0001148523587342766,0.0526397235469613,0.8185320137500962
25,35,3,1,0,0.9898638044834185,0.38948757773322296,0.00011041585392791332,0.9916160672289647
25,36,10,1,0,0.9540727230307948,0.00010887621593712803,1.5761879808333643e-05,0.9968323081564138
25,37,4,1,0,0.9825783047818918,0.06610732393706668,0.016606744646034684,0.8974627633361292
25,38,1,4,1,0.9865097458608347,0.18057262139898367,6.259087163092792,0.18061696715128292
25,40,2,2,0,0.9782725761719625,0.02248838856447681,0.3142508706867139,0.8545968554442852
25,42,2,1,0,0.982726715961806,0.06862909858960685,0.06567668286542194,0.7977387902865434
25,44,2,1,0,0.8704908373710079,7.618696691765017e-10,0.0013856779636583687,0.9703058480015604
25,46,3,1,0,0.8518763956412355,1.1083403015871588e-10,0.0032532806164115306,0.9545152936707196
25,52,2,1,0,0.9169386312493466,2.3595997514239915e-07,0.0008120195754441498,0.9772665924266458
25,54,1,5,1,0.9017378477084826,9.334758892516685e-07,3.4392019797906954,0.6326064456718488
25,55,4,5,0,0.7295117807324438,6.426096202970472e-15,0.16180139924645118,0.9994712224896906
25,56,5,1,0,0.7159774983044322,2.6899184268631597e-15,0.00042014835141314486,0.9836464899236321
25,67,1,1,0,0.8728464439586519,9.84633778068338e-10,0.04607429744816022,0.830040798421962
25,71,1,1,0,0.9110082479972195,1.0327458698675161e-07,0.009861792166804943,0.920894872806325
25,72,4,4,0,0.3611104847090769,2.4351756661633512e-22,0.025510911388227326,0.9999193376551607
25,74,1,1,0,0.8305971659420508,1.4746985785229187e-11,0.026702823952150487,0.8701956398443054
25,80,0,2,1,0.9224199433132849,7.726732374535066e-07,11.910323035497438,0.002592425078122652
25,81,1,1,1,0.8956897723446746,1.539304812638473e-08,1.0818019612083694,0.2982947944836768
25,82,1,1,0,0.5721505050227407,1.1227573383201796e-18,0.0007225871717969006,0.9785546625206004
25,83,3,3,1,0.9711271730828671,0.004227874153083291,0.5028666172796296,0.9182611784925627
25,85,2,1,0,0.7538618206767594,3.341371086269596e-14,0.003009856697957472,0.9562482776862735
25,87,2,1,0,0.9223239142522986,5.150337939685532e-07,0.012893260776474536,0.9095957179959797
25,90,1,2,1,0.8750887708092185,1.3879231323194936e-09,1.2578683765302958,0.5331597462058619
25,91,2,1,0,0.9467471393526883,2.7635113574440067e-05,0.5325157203668519,0.4655511145416461
25,92,1,1,1,0.7803934084466151,2.603014796361526e-13,1.1158477951580426,0.2908142910155238
25,94,1,1,1,0.9234926577694115,3.5553637019127735e-06,0.5560796362168012,0.45584414352579394
25,95,1,1,1,0.9591923621880165,0.0003184591866047253,0.8139111776647303,0.3669664305651832
25,97,2,1,0,0.9900263198093077,0.4035751532586883,0.01470488865514213,0.9034821588556072
25,98,1,1,1,0.8110435770428213,6.690351242679375e-12,0.2846569270469766,0.5936650207074871
26,1,1,7,0,0.8857442416371962,4.244395602789187e-09,0.48415577561112516,0.9995024532151908
26,2,2,1,0,0.7800378455461541,2.2485006660174976e-13,0.007018313028422156,0.933235029112482
26,3,2,1,0,0.8276598433346712,1.1315913678002593e-11,0.008230993952173978,0.9277112441221933
26,4,9,6,0,0.9700707117858488,0.0031753137077170967,0.5158983391688143,0.9976396233098476
26,5,4,1,0,0.7058662783156235,1.4307442282522231e-15,0.0013383839789935443,0.9708167564676209
26,6,4,4,0,0.5945428499120274,3.2707745565711196e-18,0.039938400219274035,0.9998032501174884
26,7,2,5,0,0.6881340254051653,4.906250796527775e-16,1.186148450890994,0.9461993115906944
26,8,1,3,1,0.9670331848503075,0.0016782060327407353,3.048010930625196,0.3842819075156268
26,9,8,1,0,0.9693890941345976,0.002717696988169978,0.004959555703243816,0.9438560994292372
26,10,2,1,0,0.9834955807785352,0.08331525394174824,0.017747690448925952,0.8940190318540139
26,12,10,2,0,0.9881474979809247,0.26291189763946954,0.06762343242767753,0.9667535115139295
